id_ponto,latitude_wgs84,longitude_wgs84,indice_final,motivo_veto,nota_vento,nota_dist_rede,nota_declive,nota_uso_solo,nota_conservacao,vento_bruto_ms,radiacao_solar_bruta,declive_bruto_graus,solo_bruto_codigo,restricao_dados_json,dist_urbana_bruto_km,dist_rede_bruto_km,pct_intersecao_urbana
2042,-5.735669845716784,-35.491362028534965,9.49,Aprovado,9.761904761904763,9.437333333333333,7.293333333333334,10.0,10.0,7.38,5.8,4.06,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",4.73,8.44,0.0
2100,-5.689967183490616,-35.40150239012295,9.48,Aprovado,9.761904761904763,9.597999999999999,6.986666666666668,10.0,9.628,7.38,5.8,4.52,15,"{""Prote\u00e7\u00e3o Integral"": 3.72, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 96.28}",3.12,6.03,0.0
1499,-5.468780504754599,-36.25916644876133,9.47,Aprovado,9.695767195767196,9.638,6.833333333333334,10.0,10.0,7.33,5.97,4.75,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",8.43,5.43,0.0
2039,-5.600229410881693,-35.49218068641282,9.45,Aprovado,9.761904761904763,9.404,6.906666666666668,10.0,10.0,7.38,5.8,4.64,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",5.67,8.94,0.0
1490,-6.396239933271148,-36.28322143010973,9.44,Aprovado,9.695767195767196,8.794,8.593333333333334,10.0,10.0,7.33,5.85,2.11,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",6.91,18.09,0.0
2009,-5.645646833597568,-35.536977215602306,9.42,Aprovado,9.761904761904763,9.346666666666666,6.806666666666667,10.0,10.0,7.38,5.8,4.79,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",6.78,9.8,0.0
1313,-5.786285491605012,-36.528375248315314,9.42,Aprovado,9.66931216931217,9.126,7.733333333333333,10.0,10.0,7.31,5.97,3.4,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",9.35,13.11,0.0
2031,-5.23905134401832,-35.494266697403056,9.41,Aprovado,10.0,9.949333333333334,8.213333333333333,8.0,10.0,7.88,5.8,2.68,21,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",4.81,0.76,0.0
1979,-5.691065018440919,-35.581780694320024,9.39,Aprovado,9.761904761904763,9.029333333333334,7.233333333333334,10.0,10.0,7.38,5.8,4.15,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",7.33,14.56,0.0
1049,-5.199815957795038,-36.80127884039456,9.38,Aprovado,9.854497354497356,8.661999999999999,7.7,10.0,10.0,7.45,5.97,3.45,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",6.49,20.07,0.0
