id_ponto;latitude_wgs84;longitude_wgs84;vento_bruto_ms;radiacao_solar_bruta;declive_bruto_graus;solo_bruto_codigo;restricao_dados_json;dist_urbana_bruto_km;dist_rede_bruto_km;pct_intersecao_urbana
0;-6,257663148137628;-38,544510976249576;5,54;6,02;14,31;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";5,17;129,54;0,0
1;-6,289229813438393;-38,55438647557263;5,54;6,02;18,34;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";7,07;132,15;0,0
2;-6,331013183597015;-38,55868591586582;5,54;6,02;14,72;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";6,97;134,85;0,0
3;-6,174949839438766;-38,49293015035914;5,63;6,02;7,36;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";2,21;120,36;0,0
4;-6,203712637603832;-38,507820341457766;5,63;6,02;9,65;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";0,0;123,22;33,24
5;-6,245714705193546;-38,511957602675494;5,63;6,02;13,98;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";2,14;125,74;7,26
6;-6,28899385849375;-38,51431888185682;5,54;6,02;15,06;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";3,25;128,28;0,24
7;-6,330022460144433;-38,51330056836517;5,54;6,02;13,6;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";2,18;130,49;2,93
8;-6,085351478814386;-38,44705081448013;5,63;6,02;12,73;0;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";7,18;111,76;0,0
9;-6,119435376765891;-38,455650647816455;5,63;6,02;9,78;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";8,43;114,08;0,0
10;-6,155947013014003;-38,46357178990029;5,63;6,02;13,2;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";4,41;116,53;0,0
11;-6,198491423957943;-38,46920779643607;5,63;6,02;14,09;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";1,4;119,14;6,33
12;-6,243720703146249;-38,46916242042654;5,63;6,02;13,76;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";2,72;121,47;1,61
13;-6,2889499044754205;-38,46911670798886;5,54;6,02;16,72;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";2,9;123,96;1,06
14;-6,332261269887306;-38,4669894847543;5,54;6,02;26,52;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";1,91;126,29;5,85
15;-6,375932126258934;-38,466437849965146;5,54;6,02;31,66;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";5,54;128,92;0,0
16;-6,402871366439899;-38,44708173934961;5,54;6,02;10,74;15;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";3,22;128,91;0,0
17;-6,074178306926963;-38,41626586413439;5,92;6,02;17,57;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";4,32;108,14;0,0
18;-6,108278170643705;-38,423609081100494;5,92;6,02;19,22;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";4,69;110,34;0,0
19;-6,153215245449875;-38,424062587937875;5,92;6,02;20,01;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";7,59;112,44;0,0
20;-6,198444255194977;-38,424013713822625;5,92;6,02;16,22;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";6,3;114,69;0,0
21;-6,243673187579483;-38,42396447479177;5,92;6,02;14,01;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";1,86;117,11;4,9
22;-6,288902042047879;-38,42391487069153;5,64;6,02;27,06;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";3,23;119,69;0,11
23;-6,334130818044855;-38,423864901367025;5,64;6,02;17,83;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";6,31;122,42;0,0
24;-6,379359515015294;-38,42381456666215;5,64;6,02;19,95;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";1,4;125,29;1,51
25;-6,406541945686383;-38,421863259228935;5,64;6,02;12,82;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";1,43;126,91;0,0
26;-6,071239587190197;-38,390214299376126;5,92;6,02;22,48;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";2,6;105,35;0,0
27;-6,108169266436923;-38,37908195000695;5,92;6,02;15,32;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";0,99;105,83;3,27
28;-6,153164600129166;-38,378872704479356;5,92;6,02;24,71;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";5,93;107,96;0,0
29;-6,1983932348130315;-38,378819996124484;5,92;6,02;28,39;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";8,86;110,3;0,0
30;-6,2436217920751425;-38,37876689422603;5,92;6,02;29,97;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";6,38;112,81;0,0
31;-6,288850271359525;-38,37871339861819;5,64;6,02;18,6;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";6,81;115,49;0,0
32;-6,3340786721104045;-38,37865950913388;5,64;6,02;20,56;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";7,43;118,32;0,0
33;-6,379306993772206;-38,37860522560479;5,64;6,02;20,28;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";2,84;121,28;0,0
34;-6,420663670980778;-38,37267928892309;5,64;6,02;15,39;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";0,3;123,61;22,52
35;-6,452165844273168;-38,3643924484939;5,64;6,02;9,65;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";3,38;125,15;0,0
36;-6,080401202841102;-38,33474493863261;5,92;6,02;29,01;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";3,82;100,09;0,0
